id,p1_poke1,p1_poke2,p1_poke3,p1_poke4,p1_poke5,p1_poke6,p2_poke1,p2_poke2,p2_poke3,p2_poke4,p2_poke5,p2_poke6,p1_choice,p2_choice
28,Forretress,Quagsire,Chansey,Ninetales,Heatran,Cresselia,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Forretress,Garchomp
29,Kyurem,Chansey,Skarmory,Gliscor,Tentacruel,Politoed,Breloom,Volcarona,Jirachi,Starmie,Garchomp,Dragonite,Kyurem,Garchomp
30,Abomasnow,Volcarona,Cloyster,Jirachi,Garchomp,Dragonite,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Cloyster,Abomasnow
31,Ferrothorn,Vaporeon,Latias,Jirachi,Tentacruel,Politoed,Thundurus-Therian,Scizor,Ferrothorn,Starmie,Politoed,Keldeo-Resolute,Politoed,Scizor
32,Forretress,Rotom-Wash,Celebi,Tyranitar,Hydreigon,Landorus-Therian,Kyurem,Chansey,Skarmory,Gliscor,Tentacruel,Politoed,Rotom-Wash,Kyurem
33,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Xatu,Excadrill,Tentacruel,Politoed,Shedinja,Keldeo-Resolute,Kyurem-Black,Keldeo-Resolute
34,Thundurus-Therian,Scizor,Ferrothorn,Tentacruel,Politoed,Latios,Kyurem-Black,Terrakion,Jirachi,Tornadus,Starmie,Politoed,Tentacruel,Kyurem-Black
35,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Kyurem-Black,Forretress
36,Thundurus-Therian,Scizor,Ferrothorn,Starmie,Politoed,Keldeo-Resolute,Chansey,Ferrothorn,Gliscor,Tentacruel,Politoed,Dragonite,Starmie,Chansey
37,Ditto,Xatu,Excadrill,Hippowdon,Blissey,Slowbro,Excadrill,Chansey,Skarmory,Magnezone,Amoonguss,Slowbro,Hippowdon,Slowbro
38,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Thundurus-Therian,Toxicroak,Ferrothorn,Keldeo,Tentacruel,Politoed,Breloom,Politoed
39,Tyranitar,Skarmory,Reuniclus,Heatran,Garchomp,Jellicent,Excadrill,Rotom-Wash,Celebi,Tyranitar,Terrakion,Landorus-Therian,Heatran,Landorus-Therian
40,Excadrill,Scizor,Gyarados,Vaporeon,Latias,Politoed,Tyranitar,Skarmory,Jellicent,Reuniclus,Gliscor,Latios,Excadrill,Gliscor
41,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Kyurem,Abomasnow,Landorus-Therian,Heatran,Reuniclus,Starmie,Tyranitar,Reuniclus
42,Excadrill,Rotom-Wash,Tyranitar,Amoonguss,Mamoswine,Garchomp,Forretress,Tyranitar,Skarmory,Tangrowth,Blissey,Jellicent,Garchomp,Blissey
43,Scizor,Rotom-Wash,Conkeldurr,Landorus-Therian,Amoonguss,Latios,Excadrill,Bronzong,Ninetales,Victini,Seismitoad,Dragonite,Latios,Ninetales
44,Kyurem,Abomasnow,Skarmory,Gliscor,Starmie,Latios,Abomasnow,Kyurem-Black,Skarmory,Gliscor,Starmie,Latios,Kyurem,Kyurem-Black
45,Thundurus-Therian,Ferrothorn,Mamoswine,Starmie,Politoed,Dragonite,Excadrill,Rotom-Wash,Tyranitar,Celebi,Landorus-Therian,Keldeo,Ferrothorn,Rotom-Wash
46,Starmie,Tyranitar,Skarmory,Reuniclus,Amoonguss,Mamoswine,Excadrill,Breloom,Tyranitar,Skarmory,Gyarados,Reuniclus,Skarmory,Breloom
47,Skarmory,Salamence,Magnezone,Gliscor,Starmie,Latios,Excadrill,Jirachi,Starmie,Politoed,Keldeo-Resolute,Dragonite,Latios,Starmie
48,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Thundurus-Therian,Breloom,Jirachi,Keldeo,Tentacruel,Politoed,Tyranitar,Politoed
49,Excadrill,Rotom-Wash,Kyurem-Black,Gliscor,Mamoswine,Latios,Celebi,Ferrothorn,Vaporeon,Jirachi,Politoed,Latios,Rotom-Wash,Politoed
50,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Stoutland,Hippowdon,Skarmory,Latias,Roserade,Jellicent,Landorus-Therian,Hippowdon
51,Breloom,Volcarona,Jirachi,Starmie,Garchomp,Dragonite,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Garchomp,Landorus-Therian
52,Dragonite,Magnezone,Jirachi,Latias,Gliscor,Slowbro,Xatu,Gastrodon,Ninetales,Victini,Heatran,Latios,Latias,Ninetales
53,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Kyurem,Chansey,Skarmory,Gliscor,Tentacruel,Politoed,Landorus-Therian,Politoed
54,Slowking,Hippowdon,Terrakion,Jirachi,Gliscor,Ferrothorn,Breloom,Salamence,Landorus-Therian,Espeon,Azelf,Cloyster,Jirachi,Azelf
55,Forretress,Abomasnow,Gliscor,Starmie,Mamoswine,Jellicent,Lucario,Tyranitar,Skarmory,Landorus-Therian,Alakazam,Jellicent,Forretress,Skarmory
56,Mew,Kyurem-Black,Jirachi,Heatran,Starmie,Latios,Haxorus,Uxie,Mew,Lucario,Gyarados,Mamoswine,Kyurem-Black,Mew
57,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Latios,Forretress,Chansey,Latios,Reuniclus,Gliscor,Jellicent,Garchomp,Chansey
58,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Latios,Garchomp
59,Thundurus-Therian,Excadrill,Ferrothorn,Politoed,Lapras,Latios,Chansey,Ninetales,Volcarona,Heatran,Cresselia,Donphan,Excadrill,Heatran
60,Zapdos,Scizor,Rotom-Wash,Heatran,Keldeo,Garchomp,Scizor,Rotom-Wash,Tyranitar,Gliscor,Mamoswine,Garchomp,Rotom-Wash,Rotom-Wash
61,Scizor,Rotom-Wash,Jirachi,Landorus-Therian,Keldeo,Latios,Aerodactyl,Excadrill,Hippowdon,Skarmory,Magnezone,Amoonguss,Landorus-Therian,Magnezone
62,Volcarona,Jirachi,Starmie,Politoed,Garchomp,Dragonite,Xatu,Quagsire,Chansey,Sableye,Jirachi,Tentacruel,Garchomp,Sableye
63,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Breloom,Jirachi,Landorus-Therian,Keldeo,Tentacruel,Politoed,Tyranitar,Landorus-Therian
64,Kyurem,Slowking,Abomasnow,Skarmory,Donphan,Latios,Abomasnow,Volcarona,Cloyster,Jirachi,Garchomp,Dragonite,Slowking,Jirachi
65,Aerodactyl,Lucario,Conkeldurr,Jirachi,Starmie,Dragonite,Xatu,Excadrill,Zapdos,Scizor,Ninetales,Heatran,Conkeldurr,Scizor
66,Hippowdon,Skarmory,Jirachi,Clefable,Gliscor,Latios,Xatu,Chansey,Ninetales,Victini,Cresselia,Donphan,Hippowdon,Chansey
67,Tyranitar,Skarmory,Hydreigon,Landorus-Therian,Mamoswine,Latios,Kyurem-Black,Terrakion,Jirachi,Tornadus,Starmie,Politoed,Hydreigon,Politoed
68,Excadrill,Tyranitar,Skarmory,Keldeo,Amoonguss,Latios,Breloom,Rotom-Wash,Tyranitar,Skarmory,Garchomp,Latios,Amoonguss,Garchomp
69,Skarmory,Mienshao,Latias,Clefable,Gliscor,Slowbro,Thundurus-Therian,Ferrothorn,Landorus-Therian,Keldeo,Starmie,Politoed,Clefable,Politoed
70,Hippowdon,Mew,Rotom-Wash,Skarmory,Latias,Clefable,Thundurus-Therian,Excadrill,Ferrothorn,Politoed,Lapras,Latios,Clefable,Latios
71,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Aerodactyl,Scizor,Lucario,Kyurem-Black,Starmie,Dragonite,Gastrodon,Aerodactyl
72,Excadrill,Tyranitar,Skarmory,Jellicent,Sceptile,Latios,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Garchomp,Jellicent,Sceptile,Tyranitar
73,Gengar,Scizor,Kyurem-Black,Skarmory,Garchomp,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Skarmory,Magnezone
74,Tyranitar,Mienshao,Gliscor,Ferrothorn,Garchomp,Latios,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Gliscor,Landorus-Therian
75,Excadrill,Rotom-Wash,Celebi,Tyranitar,Terrakion,Landorus-Therian,Thundurus-Therian,Excadrill,Porygon2,Politoed,Raikou,Latios,Celebi,Latios
76,Rotom-Wash,Celebi,Tyranitar,Landorus-Therian,Heatran,Keldeo-Resolute,Uxie,Mew,Lucario,Gyarados,Mamoswine,Cloyster,Landorus-Therian,Mew
77,Scizor,Rotom-Wash,Celebi,Terrakion,Landorus-Therian,Keldeo,Excadrill,Slowking,Breloom,Tyranitar,Terrakion,Landorus-Therian,Rotom-Wash,Landorus-Therian
78,Scizor,Kyurem-Black,Magnezone,Starmie,Garchomp,Dragonite,Breloom,Bronzong,Mamoswine,Tentacruel,Politoed,Latios,Kyurem-Black,Politoed
79,Gengar,Tyranitar,Landorus-Therian,Alakazam,Tentacruel,Ferrothorn,Starmie,Hippowdon,Tyranitar,Jirachi,Amoonguss,Dragonite,Landorus-Therian,Hippowdon
80,Excadrill,Bronzong,Tyranitar,Gliscor,Roserade,Jellicent,Ferrothorn,Tornadus,Mamoswine,Tentacruel,Politoed,Latios,Jellicent,Politoed
81,Salamence,Mienshao,Meloetta,Jirachi,Raikou,Garchomp,Ferrothorn,Tornadus,Landorus-Therian,Keldeo,Tentacruel,Politoed,Raikou,Politoed
82,Thundurus-Therian,Breloom,Ferrothorn,Tentacruel,Politoed,Latios,Mew,Hydreigon,Porygon2,Landorus-Therian,Starmie,Ferrothorn,Ferrothorn,Starmie
83,Thundurus-Therian,Ferrothorn,Jirachi,Keldeo,Tentacruel,Politoed,Alakazam,Tyranitar,Gliscor,Keldeo,Ferrothorn,Latios,Jirachi,Latios
84,Xatu,Forretress,Chansey,Ninetales,Seismitoad,Cresselia,Ferrothorn,Jirachi,Latias,Gliscor,Tentacruel,Politoed,Seismitoad,Gliscor
85,Tyranitar,Landorus-Therian,Clefable,Ferrothorn,Keldeo-Resolute,Latios,Aerodactyl,Scizor,Jirachi,Starmie,Garchomp,Dragonite,Keldeo-Resolute,Aerodactyl
86,Excadrill,Tyranitar,Skarmory,Reuniclus,Clefable,Alakazam,Hippowdon,Bronzong,Skarmory,Reuniclus,Alakazam,Latios,Clefable,Hippowdon
87,Excadrill,Scizor,Rotom-Wash,Tornadus,Amoonguss,Politoed,Scizor,Kyurem-Black,Salamence,Magnezone,Starmie,Garchomp,Politoed,Kyurem-Black
88,Tyranitar,Skarmory,Jellicent,Heatran,Alakazam,Latios,Thundurus-Therian,Scizor,Cloyster,Starmie,Ferrothorn,Dragonite,Heatran,Thundurus-Therian
89,Excadrill,Celebi,Magnezone,Landorus-Therian,Milotic,Latios,Xatu,Quagsire,Chansey,Sableye,Jirachi,Tentacruel,Landorus-Therian,Sableye
90,Xatu,Forretress,Chansey,Ninetales,Seismitoad,Cresselia,Scizor,Abomasnow,Kyurem-Black,Reuniclus,Landorus-Therian,Tentacruel,Forretress,Abomasnow
91,Scizor,Tyranitar,Celebi,Skarmory,Starmie,Garchomp,Kyurem-Black,Magnezone,Jirachi,Starmie,Garchomp,Dragonite,Starmie,Jirachi
92,Excadrill,Tyranitar,Keldeo,Gliscor,Amoonguss,Mamoswine,Abomasnow,Kyurem-Black,Jirachi,Starmie,Garchomp,Latios,Keldeo,Abomasnow
93,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Excadrill,Hippowdon,Scizor,Hydreigon,Ferrothorn,Latios,Gastrodon,Hippowdon
94,Forretress,Rotom-Wash,Tyranitar,Victini,Landorus-Therian,Amoonguss,Breloom,Jirachi,Tornadus,Tentacruel,Politoed,Garchomp,Landorus-Therian,Breloom
95,Kyurem-Black,Bisharp,Salamence,Magnezone,Reuniclus,Garchomp,Excadrill,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Garchomp,Latios
96,Forretress,Scizor,Rotom-Wash,Alakazam,Ferrothorn,Dragonite,Tyranitar,Skarmory,Clefable,Keldeo,Donphan,Latios,Rotom-Wash,Keldeo
97,Aerodactyl,Excadrill,Hippowdon,Skarmory,Magnezone,Amoonguss,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Magnezone,Latios
98,Scizor,Chansey,Gyarados,Landorus-Therian,Politoed,Keldeo-Resolute,Forretress,Hippowdon,Rotom-Wash,Celebi,Terrakion,Latias,Landorus-Therian,Hippowdon
99,Tyranitar,Hydreigon,Skarmory,Amoonguss,Garchomp,Keldeo-Resolute,Ferrothorn,Latias,Landorus-Therian,Heatran,Alakazam,Mamoswine,Keldeo-Resolute,Landorus-Therian
100,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Gliscor,Kyurem-Black
101,Tyranitar,Latias,Reuniclus,Heatran,Ferrothorn,Jellicent,Magnezone,Jirachi,Latias,Landorus-Therian,Ferrothorn,Garchomp,Tyranitar,Garchomp
102,Excadrill,Rotom-Wash,Tyranitar,Celebi,Landorus-Therian,Keldeo,Skarmory,Metagross,Tornadus,Machamp,Garchomp,Jellicent,Rotom-Wash,Skarmory
103,Ferrothorn,Mamoswine,Tentacruel,Politoed,Keldeo-Resolute,Latios,Thundurus-Therian,Gengar,Scizor,Skarmory,Machamp,Latios,Tentacruel,Skarmory
104,Gengar,Scizor,Rotom-Wash,Skarmory,Alakazam,Dragonite,Tyranitar,Landorus-Therian,Reuniclus,Alakazam,Ferrothorn,Latios,Skarmory,Landorus-Therian
105,Moltres,Hippowdon,Jirachi,Alakazam,Starmie,Ferrothorn,Ferrothorn,Tornadus,Keldeo,Starmie,Politoed,Latios,Hippowdon,Politoed
106,Breloom,Hydreigon,Terrakion,Jirachi,Garchomp,Latios,Scizor,Rotom-Wash,Tyranitar,Landorus-Therian,Keldeo,Latios,Jirachi,Landorus-Therian
107,Breloom,Scizor,Gyarados,Latias,Heatran,Garchomp,Excadrill,Hippowdon,Terrakion,Reuniclus,Ferrothorn,Latios,Breloom,Reuniclus
108,Excadrill,Slowking,Breloom,Tyranitar,Terrakion,Landorus-Therian,Excadrill,Rotom-Wash,Tyranitar,Ferrothorn,Garchomp,Latios,Breloom,Latios
109,Thundurus-Therian,Breloom,Scizor,Skarmory,Volcarona,Gyarados,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Skarmory,Tyranitar
110,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Keldeo-Resolute,Thundurus-Therian,Excadrill,Jirachi,Amoonguss,Politoed,Keldeo-Resolute,Rotom-Wash,Amoonguss
111,Excadrill,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Excadrill,Hippowdon,Terrakion,Reuniclus,Ferrothorn,Latios,Jirachi,Reuniclus
112,Rotom-Wash,Tyranitar,Skarmory,Landorus-Therian,Heracross,Latios,Chansey,Skarmory,Jirachi,Amoonguss,Tentacruel,Politoed,Heracross,Amoonguss
113,Forretress,Abomasnow,Gliscor,Mamoswine,Mandibuzz,Jellicent,Lucario,Tyranitar,Skarmory,Landorus-Therian,Alakazam,Jellicent,Mamoswine,Skarmory
114,Excadrill,Tyranitar,Celebi,Skarmory,Keldeo,Gliscor,Breloom,Scizor,Terrakion,Starmie,Garchomp,Dragonite,Tyranitar,Garchomp
115,Thundurus-Therian,Scizor,Terrakion,Keldeo,Politoed,Latios,Scizor,Kyurem-Black,Metagross,Salamence,Magnezone,Latios,Terrakion,Metagross
116,Zapdos,Scizor,Rotom-Wash,Heatran,Keldeo,Garchomp,Thundurus-Therian,Azumarill,Vaporeon,Tornadus,Keldeo,Politoed,Rotom-Wash,Politoed
117,Excadrill,Kyurem-Black,Jirachi,Tornadus,Staraptor,Dragonite,Tyranitar,Mienshao,Landorus-Therian,Alakazam,Ferrothorn,Jellicent,Jirachi,Tyranitar
118,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Kyurem-Black,Magnezone,Jirachi,Garchomp,Dragonite,Latios,Gliscor,Jirachi
119,Kyurem-Black,Magnezone,Jirachi,Reuniclus,Garchomp,Latios,Scizor,Tyranitar,Terrakion,Landorus-Therian,Heatran,Garchomp,Jirachi,Terrakion
120,Excadrill,Breloom,Tyranitar,Landorus-Therian,Seismitoad,Latios,Bronzong,Conkeldurr,Tyranitar,Reuniclus,Infernape,Jellicent,Tyranitar,Infernape
121,Excadrill,Tyranitar,Terrakion,Landorus-Therian,Amoonguss,Slowbro,Forretress,Sableye,Tyranitar,Tangrowth,Gastrodon,Heatran,Landorus-Therian,Tangrowth
122,Xatu,Tyranitar,Jirachi,Landorus-Therian,Roserade,Jellicent,Scizor,Rotom-Wash,Lucario,Latias,Donphan,Dragonite,Landorus-Therian,Scizor
123,Kyurem,Slowking,Abomasnow,Skarmory,Donphan,Latios,Forretress,Abomasnow,Blissey,Reuniclus,Gliscor,Latios,Donphan,Blissey
124,Tyranitar,Metagross,Salamence,Garchomp,Dragonite,Latios,Alakazam,Tyranitar,Heatran,Gliscor,Amoonguss,Ferrothorn,Latios,Amoonguss
125,Scizor,Salamence,Weavile,Magnezone,Mamoswine,Latios,Thundurus-Therian,Scizor,Toxicroak,Ferrothorn,Politoed,Latios,Latios,Politoed
126,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Bronzong,Golurk,Magneton,Celebi,Heatran,Heracross,Hippowdon,Golurk
127,Breloom,Scizor,Volcarona,Starmie,Garchomp,Dragonite,Excadrill,Celebi,Magnezone,Landorus-Therian,Milotic,Latios,Starmie,Landorus-Therian
128,Breloom,Ferrothorn,Mamoswine,Tornadus,Tentacruel,Politoed,Excadrill,Tyranitar,Celebi,Magnezone,Gliscor,Latios,Mamoswine,Latios
129,Excadrill,Tyranitar,Keldeo,Gliscor,Amoonguss,Mamoswine,Kyurem,Forretress,Abomasnow,Gliscor,Mandibuzz,Jellicent,Keldeo,Abomasnow
130,Forretress,Abomasnow,Clefable,Gliscor,Mandibuzz,Jellicent,Excadrill,Tyranitar,Magnezone,Landorus-Therian,Keldeo,Ferrothorn,Jellicent,Ferrothorn
131,Excadrill,Xatu,Chansey,Ninetales,Volcarona,Cresselia,Aerodactyl,Scizor,Jirachi,Starmie,Garchomp,Dragonite,Excadrill,Garchomp
132,Breloom,Scizor,Starmie,Garchomp,Dragonite,Latios,Excadrill,Zapdos,Tyranitar,Garchomp,Slowbro,Latios,Garchomp,Zapdos
133,Ferrothorn,Jirachi,Gliscor,Tentacruel,Politoed,Keldeo-Resolute,Rotom-Wash,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Ferrothorn,Rotom-Wash
134,Breloom,Scizor,Tyranitar,Terrakion,Keldeo,Garchomp,Rotom-Wash,Tyranitar,Landorus-Therian,Heatran,Alakazam,Ferrothorn,Garchomp,Landorus-Therian
135,Sableye,Tyranitar,Landorus-Therian,Alakazam,Ferrothorn,Latios,Excadrill,Ferrothorn,Tornadus,Politoed,Keldeo-Resolute,Latios,Latios,Politoed
136,Lucario,Tyranitar,Skarmory,Landorus-Therian,Alakazam,Jellicent,Xatu,Forretress,Hippowdon,Celebi,Blissey,Jellicent,Skarmory,Blissey
137,Aerodactyl,Scizor,Jirachi,Starmie,Garchomp,Dragonite,Rotom-Wash,Tyranitar,Terrakion,Jirachi,Latias,Gliscor,Aerodactyl,Jirachi
138,Haxorus,Uxie,Mew,Lucario,Gyarados,Mamoswine,Tyranitar,Skarmory,Landorus-Therian,Heatran,Alakazam,Jellicent,Mew,Landorus-Therian
139,Rotom-Wash,Tyranitar,Jirachi,Landorus-Therian,Keldeo,Latios,Thundurus-Therian,Scizor,Ferrothorn,Tentacruel,Politoed,Keldeo-Resolute,Rotom-Wash,Tentacruel
140,Gengar,Scizor,Toxicroak,Skarmory,Alakazam,Dragonite,Hippowdon,Scizor,Jellicent,Ferrothorn,Garchomp,Latios,Skarmory,Latios
141,Forretress,Volcarona,Terrakion,Magnezone,Gyarados,Latios,Excadrill,Breloom,Tyranitar,Skarmory,Alakazam,Jellicent,Magnezone,Skarmory
142,Forretress,Hippowdon,Celebi,Latias,Landorus-Therian,Slowbro,Thundurus-Therian,Magnezone,Jirachi,Starmie,Mamoswine,Latios,Celebi,Latios
143,Politoed,Keldeo,Starmie,Ferrothorn,Garchomp,Latios,Tyranitar,Skarmory,Gastrodon,Latias,Reuniclus,Heatran,Politoed,Latias
144,Volcarona,Jirachi,Starmie,Politoed,Garchomp,Dragonite,Xatu,Quagsire,Chansey,Sableye,Jirachi,Tentacruel,Garchomp,Chansey
145,Tyranitar,Latias,Reuniclus,Heatran,Ferrothorn,Jellicent,Rotom-Wash,Tyranitar,Reuniclus,Landorus-Therian,Ferrothorn,Latios,Heatran,Rotom-Wash
146,Ferrothorn,Tornadus,Mamoswine,Starmie,Politoed,Dragonite,Xatu,Chansey,Ninetales,Victini,Cresselia,Donphan,Politoed,Victini
147,Excadrill,Magneton,Tangrowth,Ninetales,Blissey,Infernape,Tyranitar,Keldeo,Landorus-Therian,Alakazam,Ferrothorn,Latios,Ninetales,Landorus-Therian
148,Scizor,Tyranitar,Magnezone,Terrakion,Landorus-Therian,Latios,Aerodactyl,Conkeldurr,Cloyster,Jirachi,Starmie,Dragonite,Landorus-Therian,Aerodactyl
149,Thundurus-Therian,Toxicroak,Ferrothorn,Starmie,Politoed,Dragonite,Hippowdon,Skarmory,Latias,Alakazam,Roserade,Jellicent,Starmie,Roserade
150,Hippowdon,Tangrowth,Gastrodon,Hydreigon,Heatran,Starmie,Thundurus-Therian,Scizor,Ferrothorn,Starmie,Politoed,Keldeo-Resolute,Hydreigon,Keldeo-Resolute
151,Scizor,Rotom-Wash,Landorus-Therian,Reuniclus,Keldeo,Latios,Rotom-Wash,Conkeldurr,Tyranitar,Latias,Landorus-Therian,Ferrothorn,Landorus-Therian,Rotom-Wash
152,Scizor,Tyranitar,Landorus-Therian,Keldeo,Garchomp,Latios,Conkeldurr,Tyranitar,Skarmory,Jirachi,Alakazam,Starmie,Landorus-Therian,Jirachi
153,Scizor,Rotom-Wash,Conkeldurr,Tyranitar,Terrakion,Latias,Mew,Tyranitar,Skarmory,Reuniclus,Keldeo,Amoonguss,Conkeldurr,Amoonguss
